File_Name,Note,Presence_of_Vibrato,Type
Neumman-03 render 001.wav,G3,no vibrato,note
Neumman-03 render 002.wav,G#3,no vibrato,note
Neumman-03 render 003.wav,A3,no vibrato,note
Neumman-03 render 004.wav,A#3,no vibrato,note
Neumman-03 render 005.wav,B3,no vibrato,note
Neumman-03 render 006.wav,C4,no vibrato,note
Neumman-03 render 007.wav,C#4,no vibrato,note
Neumman-03 render 008.wav,D4,no vibrato,note
Neumman-03 render 009.wav,D#4,no vibrato,note
Neumman-04 render 001.wav,E4,no vibrato,note
Neumman-04 render 002.wav,F4,no vibrato,note
Neumman-04 render 003.wav,F#4,no vibrato,note
Neumman-04 render 004.wav,G4,no vibrato,note
Neumman-04 render 005.wav,G#4,no vibrato,note
Neumman-04 render 006.wav,A4,no vibrato,note
Neumman-04 render 007.wav,A#4,no vibrato,note
Neumman-04 render 008.wav,B4,no vibrato,note
Neumman-04 render 009.wav,C5,no vibrato,note
Neumman-05 render 001.wav,C#5,no vibrato,note
Neumman-05 render 002.wav,D5,no vibrato,note
Neumman-05 render 003.wav,D#5,no vibrato,note
Neumman-05 render 004.wav,E5,no vibrato,note
Neumman-05 render 005.wav,F5,no vibrato,note
Neumman-05 render 006.wav,F#5,no vibrato,note
Neumman-05 render 007.wav,G5,no vibrato,note
Neumman-05 render 008.wav,G#5,no vibrato,note
Neumman-06 render 001.wav,A5,no vibrato,note
Neumman-06 render 002.wav,A#5,no vibrato,note
Neumman-07 render 001.wav,G3,vibrato at a standard rate,note
Neumman-07 render 002.wav,G#3,vibrato at a standard rate,note
Neumman-07 render 003.wav,A3,vibrato at a standard rate,note
Neumman-07 render 004.wav,A#3,vibrato at a standard rate,note
Neumman-07 render 005.wav,B3,vibrato at a standard rate,note
Neumman-07 render 006.wav,C4,vibrato at a standard rate,note
Neumman-07 render 007.wav,C#4,vibrato at a standard rate,note
Neumman-07 render 008.wav,D4,vibrato at a standard rate,note
Neumman-07 render 009.wav,D#4,vibrato at a standard rate,note
Neumman-07 render 010.wav,E4,vibrato at a standard rate,note
Neumman-07 render 011.wav,F4,vibrato at a standard rate,note
Neumman-07 render 012.wav,F#4,vibrato at a standard rate,note
Neumman-07 render 013.wav,G4,vibrato at a standard rate,note
Neumman-07 render 014.wav,G#4,vibrato at a standard rate,note
Neumman-07 render 015.wav,A4,vibrato at a standard rate,note
Neumman-07 render 016.wav,A#4,vibrato at a standard rate,note
Neumman-07 render 017.wav,B4,vibrato at a standard rate,note
Neumman-07 render 018.wav,C5,vibrato at a standard rate,note
Neumman-07 render 019.wav,C#5,vibrato at a standard rate,note
Neumman-07 render 020.wav,D5,vibrato at a standard rate,note
Neumman-07 render 021.wav,D#5,vibrato at a standard rate,note
Neumman-07 render 022.wav,E5,vibrato at a standard rate,note
Neumman-07 render 023.wav,F5,vibrato at a standard rate,note
Neumman-07 render 024.wav,F#5,vibrato at a standard rate,note
Neumman-07 render 025.wav,G5,vibrato at a standard rate,note
Neumman-07 render 026.wav,G#5,vibrato at a standard rate,note
Neumman-07 render 027.wav,A5,vibrato at a standard rate,note
Neumman-07 render 028.wav,A#5,vibrato at a standard rate,note
Neumman-07 render 029.wav,B5,vibrato at a standard rate,note
Neumman-08 render 001.wav,G3,slow vibrato,note
Neumman-08 render 002.wav,G#3,slow vibrato,note
Neumman-08 render 003.wav,A3,slow vibrato,note
Neumman-08 render 004.wav,A#3,slow vibrato,note
Neumman-08 render 005.wav,B3,slow vibrato,note
Neumman-08 render 006.wav,C4,slow vibrato,note
Neumman-08 render 007.wav,C#4,slow vibrato,note
Neumman-08 render 008.wav,D4,slow vibrato,note
Neumman-08 render 009.wav,D#4,slow vibrato,note
Neumman-08 render 010.wav,E4,slow vibrato,note
Neumman-08 render 011.wav,F4,slow vibrato,note
Neumman-10 render 001.wav,F#4,slow vibrato,note
Neumman-10 render 002.wav,G4,slow vibrato,note
Neumman-10 render 003.wav,G#4,slow vibrato,note
Neumman-10 render 004.wav,A4,slow vibrato,note
Neumman-10 render 005.wav,A#4,slow vibrato,note
Neumman-10 render 006.wav,B4,slow vibrato,note
Neumman-10 render 007.wav,C5,slow vibrato,note
Neumman-10 render 008.wav,C#5,slow vibrato,note
Neumman-10 render 009.wav,D5,slow vibrato,note
Neumman-11 render 001.wav,D#5,slow vibrato,note
Neumman-11 render 002.wav,E5,slow vibrato,note
Neumman-11 render 003.wav,F5,slow vibrato,note
Neumman-11 render 004.wav,F#5,slow vibrato,note
Neumman-11 render 005.wav,G5,slow vibrato,note
Neumman-11 render 006.wav,G#5,slow vibrato,note
Neumman-11 render 007.wav,A5,slow vibrato,note
Neumman-11 render 008.wav,A#5,slow vibrato,note
Neumman-11 render 009.wav,B5,slow vibrato,note
Neumman-13 render 001.wav,G3,fast vibrato,note
Neumman-13 render 002.wav,G#3,fast vibrato,note
Neumman-13 render 003.wav,A3,fast vibrato,note
Neumman-13 render 004.wav,A#3,fast vibrato,note
Neumman-13 render 005.wav,B3,fast vibrato,note
Neumman-13 render 006.wav,C4,fast vibrato,note
Neumman-13 render 007.wav,C#4,fast vibrato,note
Neumman-13 render 008.wav,D4,fast vibrato,note
Neumman-13 render 009.wav,D#4,fast vibrato,note
Neumman-13 render 010.wav,E4,fast vibrato,note
Neumman-13 render 011.wav,F4,fast vibrato,note
Neumman-13 render 012.wav,F#4,fast vibrato,note
Neumman-13 render 013.wav,G4,fast vibrato,note
Neumman-13 render 014.wav,G#4,fast vibrato,note
Neumman-13 render 015.wav,A4,fast vibrato,note
Neumman-13 render 016.wav,A#4,fast vibrato,note
Neumman-13 render 017.wav,B4,fast vibrato,note
Neumman-13 render 018.wav,C5,fast vibrato,note
Neumman-13 render 019.wav,C#5,fast vibrato,note
Neumman-13 render 020.wav,D5,fast vibrato,note
Neumman-13 render 021.wav,D#5,fast vibrato,note
Neumman-13 render 022.wav,E5,fast vibrato,note
Neumman-13 render 023.wav,F5,fast vibrato,note
Neumman-13 render 024.wav,F#5,fast vibrato,note
Neumman-14 render 001.wav,G5,fast vibrato,note
Neumman-14 render 002.wav,G#5,fast vibrato,note
Neumman-14 render 003.wav,A5,fast vibrato,note
Neumman-14 render 004.wav,A#5,fast vibrato,note
Neumman-14 render 005.wav,B5,fast vibrato,note
Neumman-15 render 001.wav,B3,no vibrato,melody
Neumman-15 render 002.wav,F#4,no vibrato,melody
Neumman-16 render 001.wav,C#5,no vibrato,melody
Neumman-16 render 002.wav,G#5,no vibrato,melody
Neumman-17 render 001.wav,B3,vibrato,melody
Neumman-18 render 001.wav,F#4,vibrato,melody
Neumman-18 render 002.wav,C#5,vibrato,melody
Neumman-19 render 001.wav,G#5,vibrato,melody